,Batch size,Search space size,Migrating clones F1,Migration graph F1
662,256,5.814973700304006e+21,0.9090909090909091,0.8888888888888888
663,256,5.814973700304006e+21,0.7142857142857143,0.38095238095238093
664,256,5.814973700304006e+21,1.0,0.823529411764706
665,256,5.814973700304006e+21,0.9090909090909091,0.8888888888888888
666,256,5.814973700304006e+21,0.7142857142857143,0.38095238095238093
667,256,5.814973700304006e+21,1.0,0.823529411764706
668,256,5.814973700304006e+21,0.9090909090909091,0.8888888888888888
669,256,5.814973700304006e+21,0.7142857142857143,0.38095238095238093
670,256,135085171767299.2,1.0,1.0
671,256,135085171767299.2,1.0,1.0
672,256,135085171767299.2,1.0,1.0
673,256,135085171767299.2,1.0,1.0
674,256,135085171767299.2,1.0,1.0
675,256,225179981368.5248,1.0,0.9333333333333333
676,256,225179981368.5248,1.0,0.9333333333333333
677,256,225179981368.5248,1.0,0.9333333333333333
678,256,225179981368.5248,1.0,0.9333333333333333
679,256,225179981368.5248,1.0,0.9333333333333333
680,256,2287679245.4961,0.8,0.47058823529411764
681,256,2287679245.4961,1.0,0.47058823529411764
682,256,2287679245.4961,1.0,0.47058823529411764
683,256,2287679245.4961,1.0,0.47058823529411764
684,256,2287679245.4961,0.8,0.47058823529411764
685,256,922337203685477.6,1.0,0.34782608695652173
686,256,922337203685477.6,1.0,0.9565217391304348
687,256,922337203685477.6,0.9090909090909091,0.7499999999999999
688,256,922337203685477.6,1.0,0.34782608695652173
689,256,922337203685477.6,1.0,0.8181818181818182
690,256,922337203685477.6,0.9090909090909091,0.7499999999999999
691,256,922337203685477.6,1.0,0.34782608695652173
692,256,922337203685477.6,1.0,0.8181818181818182
693,256,922337203685477.6,0.9090909090909091,0.7499999999999999
694,256,922337203685477.6,1.0,0.34782608695652173
695,256,922337203685477.6,1.0,0.8181818181818182
696,256,922337203685477.6,0.9090909090909091,0.625
697,256,922337203685477.6,1.0,0.34782608695652173
698,256,922337203685477.6,1.0,0.9565217391304348
699,256,922337203685477.6,0.9090909090909091,0.7499999999999999
700,256,5.902958103587057e+16,0.8571428571428572,0.8571428571428572
701,256,5.902958103587057e+16,0.8571428571428572,0.8571428571428572
702,256,5.902958103587057e+16,0.8571428571428572,0.8571428571428572
703,256,5.902958103587057e+16,0.8571428571428572,0.8571428571428572
704,256,5.902958103587057e+16,0.8571428571428572,0.8571428571428572
705,256,8.8629381196525e+17,0.8888888888888888,0.8999999999999999
706,256,8.8629381196525e+17,0.8888888888888888,0.8999999999999999
707,256,8.8629381196525e+17,0.8888888888888888,0.8999999999999999
708,256,8.8629381196525e+17,0.8888888888888888,0.8999999999999999
709,256,8.8629381196525e+17,0.8888888888888888,0.8999999999999999
710,256,4.7223664828696454e+17,1.0,0.5263157894736842
711,256,4.7223664828696454e+17,1.0,0.5263157894736842
712,256,4.7223664828696454e+17,1.0,0.5263157894736842
713,256,4.7223664828696454e+17,1.0,0.5263157894736842
714,256,4.7223664828696454e+17,1.0,0.631578947368421
715,256,1801439850948.1985,1.0,0.3
716,256,1801439850948.1985,0.9230769230769229,0.6666666666666666
717,256,1801439850948.1985,1.0,1.0
718,256,1801439850948.1985,0.8,0.7619047619047619
719,256,1801439850948.1985,1.0,0.42105263157894735
720,256,1801439850948.1985,0.9230769230769229,0.6666666666666666
